,Columns
0,Co_Ref
1,Renewal_Month
2,Connection_Net
3,Connection_Qty
4,Discount_Amount
5,Sustainability_Score
6,Total_Renewal_Score_New
7,Starting_Connection_Net
8,Starting_Connection_Qty
9,Last_Years_Price
10,Last_Years_Date_Paid
11,Auto_Renewal_Score
12,Status_Scores
13,Anchoring_Score
14,Tenure_Scores
15,Proforma_Auto_Renewal
16,Proforma_World_Pay_Token
17,Proforma_Date
18,Current_Anchorings
19,Current_Anchor_List
20,Payment_Timeframe
21,Registration_Date
22,Proforma_Account_Stage
23,Proforma_Audit_Status
24,Current_Auto_Renewal_Flag
25,Current_World_Pay_Token
26,Renewal_Score_At_Release
27,Proforma_Membership_Status
28,Proforma_Approved_Lists
29,Tenure_Years
30,Band
31,Prospect_Renewal_Date
32,Closed_Date
33,Prospect_Status
34,Starting_Net
35,Starting_Vat
36,Starting_Gross
37,Starting_Membership_Net
38,Starting_Package_Net
39,Starting_PQQ_Net
40,Gross
41,Membership_Net
42,Package_Net
43,PQQNet
44,Total_Net_Paid
45,Prospect_Outcome
46,Payment_Method
47,Amount
48,Total_Amount
49,Connection_Group
50,Tenure_Group
51,#_of_Connection
52,Last_Renewal
53,Last_Band
54,Last_Total_Net_Paid
55,Last_Connections
56,Anchor_Group
57,Renewal_Year
58,DateTime_Out
