Feature,Importance
Status_Scores,0.34926614
Current_World_Pay_Token,0.14767388
Sustainability_Score,0.056268886
stage_high_risk_flag,0.026992409
Anchor_Group_Unknown,0.024983354
Connection_Group_Unknown,0.023948556
Current_Auto_Renewal_Flag,0.023289703
cancel_flag,0.0223489
Total_Net_Paid,0.021148162
Auto_Renewal_Score,0.021006057
Discount_Amount,0.019216161
Tenure_Years,0.01868385
Band_Band F,0.016470617
Tenure_Group_4+,0.01218779
Band_Band B,0.011888792
Payment_Timeframe,0.010288636
Band_Band C1,0.009929709
Renewal_Score_At_Release,0.009121477
Competitor_Value_Comparison_renewal_unknown,0.008386056
Tenure_Group_3,0.008330257
